calculo i  a0039 com02,"dia: lunes | horario: 08:00 a 09:59 | docentes: conde cristian marcelo, orellano romina belen | aula: aula 3007 | edificacion: moduloiii | compartido con: a0039 com-02 |a0039 com-01 | tipo de clase: teorico | instancia: regularidad
 | dia: lunes | horario: 10:00 a 11:59 | docentes: conde cristian marcelo, orellano romina belen | aula: aula 7022 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
 | dia: miercoles | horario: 08:00 a 09:59 | docentes: conde cristian marcelo, orellano romina belen | aula: aula 3007 | edificacion: moduloiii | compartido con: a0039 com-02 |a0039 com-01 | tipo de clase: teorico | instancia: regularidad
 | dia: miercoles | horario: 10:00 a 11:59 | docentes: conde cristian marcelo, orellano romina belen | aula: aula 7022 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
"
calculo i  a0039 com03,"dia: lunes | horario: 18:00 a 19:59 | docentes: herrera cristina mabel, reale marcela veronica | aula: aula 3008 | edificacion: moduloiii | compartido con: a0039 com-04 |a0039 com-03 | tipo de clase: teorico | instancia: regularidad
 | dia: lunes | horario: 20:00 a 22:00 | docentes: herrera cristina mabel, reale marcela veronica | aula: aula 3008 | edificacion: moduloiii | compartido con: nan | tipo de clase: practico | instancia: regularidad
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: herrera cristina mabel, reale marcela veronica | aula: aula 3008 | edificacion: moduloiii | compartido con: a0039 com-04 |a0039 com-03 | tipo de clase: teorico | instancia: regularidad
 | dia: miercoles | horario: 20:00 a 22:00 | docentes: herrera cristina mabel, reale marcela veronica | aula: aula 3008 | edificacion: moduloiii | compartido con: nan | tipo de clase: practico | instancia: regularidad
"
calculo i  a0039 com04,"dia: lunes | horario: 18:00 a 19:59 | docentes: mendez erica elizabeth, reale marcela veronica | aula: aula 3008 | edificacion: moduloiii | compartido con: a0039 com-04 |a0039 com-03 | tipo de clase: teorico | instancia: regularidad
 | dia: lunes | horario: 20:00 a 22:00 | docentes: mendez erica elizabeth, reale marcela veronica | aula: aula 7022 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: mendez erica elizabeth, reale marcela veronica | aula: aula 3008 | edificacion: moduloiii | compartido con: a0039 com-04 |a0039 com-03 | tipo de clase: teorico | instancia: regularidad
 | dia: miercoles | horario: 20:00 a 22:00 | docentes: mendez erica elizabeth, reale marcela veronica | aula: aula 7022 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
"
calculo ii  a0040 com01,"dia: lunes | horario: 18:00 a 19:59 | docentes: monzon gabriel | aula: aula 7024 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico | instancia: regularidad
 | dia: lunes | horario: 20:00 a 22:00 | docentes: monzon gabriel | aula: aula 7024 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
 | dia: miercoles | horario: 18:00 a 19:59 | docentes: monzon gabriel | aula: aula 7024 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico | instancia: regularidad
 | dia: miercoles | horario: 20:00 a 22:00 | docentes: monzon gabriel | aula: aula 7024 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
"
calculo para computacion  a0551 com01,"dia: miercoles | horario: 18:00 a 22:00 | docentes: tetzlaff guillermo tomas | aula: aula 7019 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
 | dia: viernes | horario: 18:00 a 22:00 | docentes: tetzlaff guillermo tomas | aula: aula 7019 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
"
cartografia tematica  a0240 com01,"dia: jueves | horario: 18:00 a 22:00 | docentes: caloni nicolas | aula: labo sig 602 | edificacion: modulovi | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
 | dia: martes | horario: 18:00 a 19:59 | docentes: caloni nicolas | aula: labo sig 602 | edificacion: modulovi | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
"
cartografia,"dia: miercoles | horario: 18:00 a 19:59 | docentes: de vito julian, spina veronica andrea | aula: labo com 7128 | edificacion: modulovii | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
 | dia: viernes | horario: 18:00 a 22:00 | docentes: de vito julian, spina veronica andrea | aula: labo com 7114 | edificacion: modulovii | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
"
sensores remotos y sistemas deinformacion geografica  a0041 com01,"dia: miercoles | horario: 18:00 a 19:59 | docentes: de vito julian, spina veronica andrea | aula: labo com 7128 | edificacion: modulovii | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
 | dia: viernes | horario: 18:00 a 22:00 | docentes: de vito julian, spina veronica andrea | aula: labo com 7114 | edificacion: modulovii | compartido con: nan | tipo de clase: informatica | instancia: regularidad/promocion
"
ciencia de los materiales  a0042 com01,"dia: sabado | horario: 09:00 a 14:59 | docentes: echegoyen raul esteban, tevez juan ezequiel | aula: aula 7075 / 7077 | edificacion: modulovii | compartido con: a0042 com-02 |a0042 com-01 | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
ciencia de los materiales  a0042 com02,"dia: sabado | horario: 09:00 a 14:59 | docentes: monti carlos alberto | aula: aula 7075 / 7077 | edificacion: modulovii | compartido con: a0042 com-02 |a0042 com-01 | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
circuitos electricos  a0357 com01,"dia: lunes | horario: 18:00 a 22:00 | docentes: di lorenzo roberto carlos, ogasawara guillermo | aula: aula 7283 / 7285 | edificacion: moduloviid e3 | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
ciudad y ambiente  a0043 com01,"dia: lunes | horario: 18:00 a 22:00 | docentes: canellas estela noemi, colella viviana jorgelina | aula: aula 7273 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
